6.6736 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'word': 'BLUE', 'colour': 'red', 'stimuluscondition': 'I', 'correct_res': 'r', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
6.6896 	EXP 	fixation: autoDraw = False
6.6896 	EXP 	text_3: autoDraw = False
6.6896 	EXP 	text_3: foreColor = <psychopy.colors.Color: red, alpha=1.0>
6.6896 	EXP 	text_3: height = np.float64(0.05)
6.6896 	EXP 	text_3: height = np.float64(0.05)
6.6896 	EXP 	text_3: height = np.float64(0.05)
6.6896 	EXP 	text_3: text = 'BLUE'
6.6896 	EXP 	fixation: autoDraw = True
6.8734 	EXP 	Device response: <KeyPress from None: t=6.66176649999943, value=b, duration=0.2001892083335406>
7.1730 	INFO 	Keyboard events cleared
7.1729 	EXP 	fixation: autoDraw = False
7.1729 	EXP 	text_3: autoDraw = True
8.3674 	DATA 	Keypress: r
8.3732 	EXP 	Device response: <KeyPress from None: t=8.363574833332677, value=r, duration=None>
8.3732 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'word': 'RED', 'colour': 'red', 'stimuluscondition': 'C', 'correct_res': 'r', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
8.3895 	EXP 	fixation: autoDraw = False
8.3895 	EXP 	text_3: autoDraw = False
8.3895 	EXP 	text_3: foreColor = <psychopy.colors.Color: red, alpha=1.0>
8.3895 	EXP 	text_3: height = np.float64(0.05)
8.3895 	EXP 	text_3: height = np.float64(0.05)
8.3895 	EXP 	text_3: height = np.float64(0.05)
8.3895 	EXP 	text_3: text = 'RED'
8.3895 	EXP 	fixation: autoDraw = True
8.5731 	EXP 	Device response: <KeyPress from None: t=8.363574833332677, value=r, duration=0.2003054583328776>
8.8728 	INFO 	Keyboard events cleared
8.8728 	EXP 	fixation: autoDraw = False
8.8728 	EXP 	text_3: autoDraw = True
10.0701 	DATA 	Keypress: r
10.0731 	EXP 	Device response: <KeyPress from None: t=10.066556416666572, value=r, duration=None>
10.0732 	EXP 	New trial (rep=1, index=0): <Trial 4 (0 in rep 1) data={'word': 'BLUE', 'colour': 'red', 'stimuluscondition': 'I', 'correct_res': 'r', 'thisN': 4, 'thisTrialN': 0, 'thisRepN': 1}>
10.0896 	EXP 	fixation: autoDraw = False
10.0896 	EXP 	text_3: autoDraw = False
10.0896 	EXP 	text_3: foreColor = <psychopy.colors.Color: red, alpha=1.0>
10.0896 	EXP 	text_3: height = np.float64(0.05)
10.0896 	EXP 	text_3: height = np.float64(0.05)
10.0896 	EXP 	text_3: height = np.float64(0.05)
10.0896 	EXP 	text_3: text = 'BLUE'
10.0896 	EXP 	fixation: autoDraw = True
10.2231 	EXP 	Device response: <KeyPress from None: t=10.066556416666572, value=r, duration=0.14828345833302592>
10.5730 	INFO 	Keyboard events cleared
10.5730 	EXP 	fixation: autoDraw = False
10.5730 	EXP 	text_3: autoDraw = True
12.6898 	EXP 	Device response: <KeyPress from None: t=12.68548116666716, value=r, duration=None>
12.6899 	EXP 	New trial (rep=1, index=1): <Trial 5 (1 in rep 1) data={'word': 'BLUE', 'colour': 'blue', 'stimuluscondition': 'C', 'correct_res': 'b ', 'thisN': 5, 'thisTrialN': 1, 'thisRepN': 1}>
12.6925 	DATA 	Keypress: r
12.7061 	EXP 	fixation: autoDraw = False
12.7061 	EXP 	text_3: autoDraw = False
12.7061 	EXP 	text_3: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
12.7061 	EXP 	text_3: text = 'BLUE'
12.7061 	EXP 	fixation: autoDraw = True
12.8064 	EXP 	Device response: <KeyPress from None: t=12.68548116666716, value=r, duration=0.10430229166559002>
13.1896 	INFO 	Keyboard events cleared
13.1896 	EXP 	fixation: autoDraw = False
13.1896 	EXP 	text_3: autoDraw = True
14.0530 	DATA 	Keypress: b
14.0564 	EXP 	Device response: <KeyPress from None: t=14.049423333333834, value=b, duration=None>
14.0565 	EXP 	New trial (rep=1, index=2): <Trial 6 (2 in rep 1) data={'word': 'RED', 'colour': 'red', 'stimuluscondition': 'C', 'correct_res': 'r', 'thisN': 6, 'thisTrialN': 2, 'thisRepN': 1}>
14.0728 	EXP 	fixation: autoDraw = False
14.0728 	EXP 	text_3: autoDraw = False
14.0728 	EXP 	text_3: foreColor = <psychopy.colors.Color: red, alpha=1.0>
14.0728 	EXP 	text_3: height = np.float64(0.05)
14.0728 	EXP 	text_3: height = np.float64(0.05)
14.0728 	EXP 	text_3: height = np.float64(0.05)
14.0728 	EXP 	text_3: text = 'RED'
14.0728 	EXP 	fixation: autoDraw = True
14.1730 	EXP 	Device response: <KeyPress from None: t=14.049423333333834, value=b, duration=0.1083248333325173>
14.5563 	INFO 	Keyboard events cleared
14.5562 	EXP 	fixation: autoDraw = False
14.5562 	EXP 	text_3: autoDraw = True
15.8981 	DATA 	Keypress: r
15.9064 	EXP 	Device response: <KeyPress from None: t=15.894402624999202, value=r, duration=None>
15.9064 	EXP 	New trial (rep=1, index=3): <Trial 7 (3 in rep 1) data={'word': 'RED', 'colour': 'blue', 'stimuluscondition': 'I', 'correct_res': 'b', 'thisN': 7, 'thisTrialN': 3, 'thisRepN': 1}>
15.9228 	EXP 	fixation: autoDraw = False
15.9228 	EXP 	text_3: autoDraw = False
15.9228 	EXP 	text_3: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
15.9228 	EXP 	text_3: text = 'RED'
15.9228 	EXP 	fixation: autoDraw = True
16.0397 	EXP 	Device response: <KeyPress from None: t=15.894402624999202, value=r, duration=0.1362888750009006>
16.4062 	INFO 	Keyboard events cleared
16.4062 	EXP 	fixation: autoDraw = False
16.4062 	EXP 	text_3: autoDraw = True
18.1729 	EXP 	Device response: <KeyPress from None: t=18.169380083332726, value=b, duration=None>
18.1729 	EXP 	New trial (rep=2, index=0): <Trial 8 (0 in rep 2) data={'word': 'BLUE', 'colour': 'red', 'stimuluscondition': 'I', 'correct_res': 'r', 'thisN': 8, 'thisTrialN': 0, 'thisRepN': 2}>
18.1766 	DATA 	Keypress: b
18.1897 	EXP 	fixation: autoDraw = False
18.1897 	EXP 	text_3: autoDraw = False
18.1897 	EXP 	text_3: foreColor = <psychopy.colors.Color: red, alpha=1.0>
18.1897 	EXP 	text_3: height = np.float64(0.05)
18.1897 	EXP 	text_3: height = np.float64(0.05)
18.1897 	EXP 	text_3: height = np.float64(0.05)
18.1897 	EXP 	text_3: text = 'BLUE'
18.1897 	EXP 	fixation: autoDraw = True
18.3232 	EXP 	Device response: <KeyPress from None: t=18.169380083332726, value=b, duration=0.14827574999981152>
18.6729 	INFO 	Keyboard events cleared
18.6729 	EXP 	fixation: autoDraw = False
18.6729 	EXP 	text_3: autoDraw = True
19.8522 	DATA 	Keypress: r
19.8566 	EXP 	Device response: <KeyPress from None: t=19.849279583333555, value=r, duration=None>
19.8566 	EXP 	New trial (rep=2, index=1): <Trial 9 (1 in rep 2) data={'word': 'RED', 'colour': 'blue', 'stimuluscondition': 'I', 'correct_res': 'b', 'thisN': 9, 'thisTrialN': 1, 'thisRepN': 2}>
19.8730 	EXP 	fixation: autoDraw = False
19.8730 	EXP 	text_3: autoDraw = False
19.8730 	EXP 	text_3: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
19.8730 	EXP 	text_3: height = np.float64(0.05)
19.8730 	EXP 	text_3: height = np.float64(0.05)
19.8730 	EXP 	text_3: height = np.float64(0.05)
19.8730 	EXP 	text_3: text = 'RED'
19.8730 	EXP 	fixation: autoDraw = True
20.0232 	EXP 	Device response: <KeyPress from None: t=19.849279583333555, value=r, duration=0.17233845833288797>
20.3556 	INFO 	Keyboard events cleared
20.3556 	EXP 	fixation: autoDraw = False
20.3556 	EXP 	text_3: autoDraw = True
21.4397 	EXP 	Device response: <KeyPress from None: t=21.439304458333936, value=b, duration=None>
21.4398 	EXP 	New trial (rep=2, index=2): <Trial 10 (2 in rep 2) data={'word': 'BLUE', 'colour': 'blue', 'stimuluscondition': 'C', 'correct_res': 'b ', 'thisN': 10, 'thisTrialN': 2, 'thisRepN': 2}>
21.4428 	DATA 	Keypress: b
21.4561 	EXP 	fixation: autoDraw = False
21.4561 	EXP 	text_3: autoDraw = False
21.4561 	EXP 	text_3: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
21.4561 	EXP 	text_3: height = np.float64(0.05)
21.4561 	EXP 	text_3: height = np.float64(0.05)
21.4561 	EXP 	text_3: height = np.float64(0.05)
21.4561 	EXP 	text_3: text = 'BLUE'
21.4561 	EXP 	fixation: autoDraw = True
21.5897 	EXP 	Device response: <KeyPress from None: t=21.439304458333936, value=b, duration=0.1402706249991752>
21.9395 	INFO 	Keyboard events cleared
21.9395 	EXP 	fixation: autoDraw = False
21.9395 	EXP 	text_3: autoDraw = True
22.9104 	DATA 	Keypress: b
22.9231 	EXP 	Device response: <KeyPress from None: t=22.90823887499937, value=b, duration=None>
22.9232 	EXP 	New trial (rep=2, index=3): <Trial 11 (3 in rep 2) data={'word': 'RED', 'colour': 'red', 'stimuluscondition': 'C', 'correct_res': 'r', 'thisN': 11, 'thisTrialN': 3, 'thisRepN': 2}>
22.9395 	EXP 	fixation: autoDraw = False
22.9395 	EXP 	text_3: autoDraw = False
22.9395 	EXP 	text_3: foreColor = <psychopy.colors.Color: red, alpha=1.0>
22.9395 	EXP 	text_3: height = np.float64(0.05)
22.9395 	EXP 	text_3: height = np.float64(0.05)
22.9395 	EXP 	text_3: height = np.float64(0.05)
22.9395 	EXP 	text_3: text = 'RED'
22.9395 	EXP 	fixation: autoDraw = True
23.0730 	EXP 	Device response: <KeyPress from None: t=22.90823887499937, value=b, duration=0.1563212500004738>
23.4230 	INFO 	Keyboard events cleared
23.4230 	EXP 	fixation: autoDraw = False
23.4230 	EXP 	text_3: autoDraw = True
24.3208 	DATA 	Keypress: r
24.3240 	EXP 	Device response: <KeyPress from None: t=24.31727145833247, value=r, duration=None>
